barrio;ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
LOS PRADOS II;LA CALERA;74112.0;9450.0;75000.0;602.0;223.0;560.0;810.0;193.0;843.0;17
LOS ROBLES;CORDOBA;68962.0;22382.0;65000.0;286.0;195.0;251.0;535.0;237.0;472.0;13
LOS SOLES;CORDOBA;410000.0;56569.0;410000.0;801.0;282.0;801.0;1367.0;189.0;1367.0;2
MAIPU SECCION 1;CORDOBA;112443.0;50014.0;109500.0;483.0;238.0;440.0;597.0;174.0;593.0;74
MAIPU SECCION 2;CORDOBA;142122.0;73333.0;130000.0;715.0;1340.0;445.0;898.0;1400.0;647.0;32
MALAGUENO;CAUSANA;294500.0;64402.0;305000.0;588.0;725.0;308.0;1176.0;458.0;1000.0;4
MALAGUENO;CORDOBA;225000.0;;225000.0;500.0;;500.0;804.0;;804.0;1
MALAGUENO;LA ARBOLADA HOLLYWOOD;190000.0;;190000.0;864.0;;864.0;;;;1
MANANTIALES;CORDOBA;141730.0;85972.0;123500.0;811.0;354.0;718.0;967.0;214.0;935.0;196
MANSOS DEL SUR;CORDOBA;162167.0;26679.0;164500.0;968.0;161.0;956.0;1120.0;57.0;1127.0;12
MARCELO T. DE ALVEAR;CORDOBA;48500.0;19092.0;48500.0;531.0;400.0;531.0;411.0;;411.0;2
MARCOS SASTRE;CORDOBA;97000.0;69995.0;71500.0;412.0;349.0;286.0;625.0;333.0;548.0;4
MARECHAL;CORDOBA;45800.0;16725.0;38000.0;252.0;50.0;271.0;336.0;137.0;333.0;3
MARIANO BALCARCE;CORDOBA;68889.0;30068.0;75000.0;362.0;226.0;340.0;554.0;120.0;611.0;9
MARIANO FRAGUEIRO;CORDOBA;35000.0;0.0;35000.0;140.0;0.0;140.0;269.0;;269.0;2
MARQ. DE SOBREMONTE;CORDOBA;108213.0;54644.0;100000.0;349.0;207.0;290.0;658.0;279.0;627.0;83
MATIENZO;CORDOBA;65577.0;24174.0;60000.0;328.0;157.0;274.0;554.0;390.0;469.0;62
MAURIZZI;CORDOBA;95000.0;;95000.0;235.0;;235.0;848.0;;848.0;1
MENDIOLAZA GOLF;MENDIOLAZA;156580.0;105065.0;129900.0;122.0;13.0;121.0;887.0;253.0;928.0;5
MERCANTIL;CORDOBA;43000.0;4359.0;45000.0;178.0;25.0;180.0;446.0;6.0;446.0;3
MIRADOR;CORDOBA;94667.0;78240.0;56000.0;371.0;178.0;306.0;518.0;248.0;492.0;6
MIRADORES DE MANANTIALES;CORDOBA;156015.0;47897.0;135000.0;858.0;200.0;860.0;1099.0;157.0;1099.0;89
MOSCONI;CORDOBA;41600.0;8764.0;40000.0;157.0;40.0;146.0;295.0;91.0;333.0;5
MULLER;CORDOBA;32600.0;3143.0;32000.0;174.0;43.0;180.0;213.0;50.0;213.0;3
NATANIA 19;CORDOBA;108250.0;14221.0;106500.0;433.0;29.0;439.0;918.0;278.0;925.0;4
NOBU TOWN;CORDOBA;43000.0;;43000.0;72.0;;72.0;1194.0;;1194.0;1
NUEVA CORDOBA;CORDOBA;113623.0;84665.0;85000.0;1431.0;422.0;1375.0;1346.0;648.0;1197.0;1652
NUEVA CORDOBA ANEXA;CORDOBA;72171.0;56745.0;57000.0;1003.0;244.0;998.0;421.0;;421.0;17
NUEVA ITALIA;CORDOBA;69917.0;30210.0;64500.0;295.0;182.0;256.0;456.0;203.0;355.0;12
NUEVO JARDIN;CORDOBA;89200.0;13198.0;95000.0;754.0;195.0;750.0;627.0;222.0;650.0;5
NUEVO POETA LUGONES;CORDOBA;138256.0;41312.0;132500.0;685.0;169.0;656.0;955.0;169.0;940.0;54
NUEVO URCA;CORDOBA;119268.0;29067.0;115000.0;716.0;187.0;700.0;966.0;246.0;922.0;31
OBRERO;CORDOBA;69667.0;25403.0;55000.0;711.0;330.0;902.0;596.0;;596.0;3
OBSERVATORIO;CORDOBA;55800.0;30629.0;48000.0;781.0;279.0;772.0;648.0;395.0;569.0;119
OLIVOS;CORDOBA;47000.0;11314.0;47000.0;157.0;38.0;157.0;440.0;;440.0;2
OLMOS;CORDOBA;54950.0;28214.0;54950.0;823.0;898.0;823.0;471.0;;471.0;2
ONA;CORDOBA;89333.0;35233.0;70000.0;431.0;234.0;309.0;454.0;76.0;454.0;3
OTRO;CORDOBA;179484.0;127788.0;150000.0;713.0;435.0;667.0;990.0;337.0;1043.0;125
OTRO;MENDIOLAZA;182602.0;89648.0;165000.0;283.0;285.0;183.0;867.0;280.0;846.0;53
OTRO;RIO CEBALLOS;115453.0;66912.0;90000.0;482.0;1762.0;178.0;737.0;277.0;727.0;86
OTRO;VILLA ALLENDE;130343.0;68746.0;112000.0;445.0;357.0;328.0;752.0;305.0;801.0;30
PADRE CLARET;CORDOBA;167932.0;53496.0;170000.0;585.0;394.0;490.0;915.0;183.0;909.0;31
PALMAR;CORDOBA;62500.0;20207.0;57500.0;197.0;71.0;200.0;437.0;57.0;431.0;4
PALMAS DE CLARET;CORDOBA;92500.0;39584.0;112500.0;781.0;213.0;802.0;1005.0;201.0;992.0;8
PANAMERICANO;CORDOBA;56083.0;22561.0;53500.0;281.0;130.0;242.0;488.0;161.0;454.0;12
PARQUE ALAMEDA;CORDOBA;121714.0;34879.0;130000.0;618.0;216.0;665.0;824.0;228.0;821.0;7
PARQUE ATLANTICA;CORDOBA;85679.0;32641.0;83000.0;392.0;218.0;328.0;636.0;129.0;624.0;14
PARQUE CAPITAL;CORDOBA;126848.0;51336.0;122500.0;456.0;228.0;407.0;746.0;226.0;760.0;50
PARQUE CAPITAL SUD;CORDOBA;89000.0;72200.0;66000.0;336.0;131.0;290.0;589.0;235.0;525.0;12
PARQUE CHACABUCO;CORDOBA;173305.0;66064.0;170000.0;466.0;177.0;442.0;704.0;132.0;702.0;39
PARQUE COREMA;CORDOBA;145177.0;91976.0;117000.0;559.0;265.0;450.0;933.0;179.0;900.0;31
PARQUE FUTURA;CORDOBA;135200.0;192823.0;50000.0;181.0;97.0;144.0;880.0;778.0;625.0;5
PARQUE HORIZONTE;CORDOBA;114375.0;36151.0;112500.0;386.0;145.0;367.0;631.0;173.0;612.0;40
PARQUE LATINO;CORDOBA;72000.0;13509.0;70000.0;523.0;331.0;576.0;501.0;270.0;580.0;5
PARQUE LICEO I;CORDOBA;73000.0;22522.0;65000.0;235.0;78.0;213.0;400.0;87.0;378.0;9
PARQUE LICEO II;CORDOBA;64571.0;18769.0;58000.0;214.0;93.0;200.0;451.0;85.0;431.0;7
PARQUE LICEO III;CORDOBA;46125.0;20225.0;46750.0;148.0;73.0;147.0;368.0;246.0;342.0;4
PARQUE LOS MOLINOS;CORDOBA;75000.0;33912.0;65000.0;416.0;256.0;263.0;681.0;211.0;646.0;7
PARQUE MONTECRISTO;CORDOBA;71000.0;10583.0;75000.0;253.0;203.0;236.0;19965.0;33805.0;465.0;3
PARQUE REPUBLICA;CORDOBA;42817.0;14876.0;37500.0;141.0;63.0;130.0;331.0;155.0;391.0;6
PARQUE SAN CARLOS;CORDOBA;79750.0;28194.0;79000.0;290.0;92.0;281.0;531.0;139.0;555.0;4
