id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo
52079261;DEPARTAMENTO;76000;31-07-2023;INMOBILIARIA;107;76;2;2;;GENERAL PAZ;CORDOBA;-31.4094923;-64.1728598;True
51632191;DEPARTAMENTO;65000;08-05-2023;INMOBILIARIA;47;42;1;;;GENERAL PAZ;CORDOBA;-31.411617;-64.1707294;False
51061085;DEPARTAMENTO;30000;30-01-2023;INMOBILIARIA;40;40;1;1;;CENTRO;CORDOBA;-31.4082544;-64.1935061;False
49440102;CASA;239000;31-07-2022;INMOBILIARIA;1200;360;3;2;6;LA ARBOLADA;MALAGUENO;-31.4428897;-64.4388196;False
50592686;CASA;43000;03-11-2022;INMOBILIARIA;248;93;2;1;;LOS NARANJOS;CORDOBA;-31.4263401;-64.22396088;False
51237930;CASA;550000;03-03-2023;INMOBILIARIA;1800;350;3;3;;LAS DELICIAS;CORDOBA;-31.3678457;-64.3003852;False
50731198;CASA;370000;26-11-2022;PARTICULAR;240;200;3;2;2;CASA LA PAZ - GOLF COUNTRY CLUB CARLOS PAZ - ADULTS AND FAMILIES ONLY;VILLA CARLOS PAZ;-31.4929127;-64.5290644;False
51548806;TERRENOS;240000;24-04-2023;INMOBILIARIA;1300;1;;;;LA RUFINA;LA CALERA;-31.3496772;-64.3104833;False
51556293;DEPARTAMENTO;37000;25-04-2023;INMOBILIARIA;21;21;;;;NUEVA CORDOBA;CORDOBA;-31.422686;-64.1783634;False
52024392;CASA;200000;20-07-2023;INMOBILIARIA;700;150;2;2;1;SANTA RITA DEL LAGO;VILLA CARLOS PAZ;-31.4207828;-64.4992141;True
49574837;TERRENOS;65000;01-08-2022;INMOBILIARIA;1452;1452;;;;SE VENDE LOTE EN VENTURIA VILLA CARLOS PAZ;VILLA CARLOS PAZ;-31.4244687;-64.5166821;False
49834573;DEPARTAMENTO;190000;01-08-2022;INMOBILIARIA;195;195;3;3;1;CANUELAS COUNTRY GOLF;CORDOBA;-31.4200833;-64.1887761;False
50155365;PH;139000;19-08-2022;INMOBILIARIA;180;180;3;3;2;MANANTIALES;CORDOBA;-31.4743047;-64.2617054;False
52027112;DEPARTAMENTO;52000;22-07-2023;INMOBILIARIA;70;45;1;1;;COFICO;CORDOBA;-31.4033281;-64.1867753;True
51437088;DEPARTAMENTO;83000;07-04-2023;INMOBILIARIA;110;70;1;2;1;COFICO;CORDOBA;-31.4000394;-64.1820089;False
51261503;CASA;590000;09-03-2023;PARTICULAR;11000;400;6;;;CHALET GRANADA;LA CUMBRE;-30.959007955750018;-64.48733520793458;False
51530647;DEPARTAMENTO;90000;21-04-2023;INMOBILIARIA;70;40;1;1;;NUEVA CORDOBA;CORDOBA;-31.4321086;-64.1930479999999;False
51973482;TERRENOS;220000;07-07-2023;INMOBILIARIA;659;;;;;VILLA BELGRANO;CORDOBA;-31.349111;-64.2541869;True
51259289;DEPARTAMENTO;27000;09-03-2023;PARTICULAR;40;40;1;1;;ALBERDI;CORDOBA;-31.4094654;-64.2021501;False
51936036;CASA;520000;30-06-2023;INMOBILIARIA;1500;350;3;2;2;CANUELAS COUNTRY GOLF;CORDOBA;-35.032585;-58.7338522;True
52062057;DEPARTAMENTO;250000;27-07-2023;INMOBILIARIA;146;92;3;3;1;GENERAL PAZ;CORDOBA;-31.4070981;-64.1831595;True
52063480;DEPARTAMENTO;167000;29-07-2023;PARTICULAR;70;70;2;2;1;GENERAL PAZ;CORDOBA;-31.4170409;-64.1703293;True
51548055;TERRENOS;69000;24-04-2023;INMOBILIARIA;553;552;;;;ACQUAVISTA;MALAGUENO;-31.4382565;-64.3221278;False
48257696;CASA;108000;31-07-2022;INMOBILIARIA;140;95;3;1;2;ALTO VERDE;CORDOBA;-31.3786465;-64.2162198;False
51064759;CASA;215000;30-01-2023;PARTICULAR;900;300;;2;2;QUINTAS DE ARGUELLO;CORDOBA;-31.342919743122124;-64.27210982698364;False
51999540;CASA;95000;13-07-2023;INMOBILIARIA;180;135;3;3;;DOCTA;CORDOBA;-31.4552216;-64.3098543;True
51440442;TERRENOS;170000;06-04-2023;INMOBILIARIA;1500;;;;;SIETE SOLES NATURALEZA URBANA;CORDOBA;-31.43717689999999;-64.3033797;False
51805757;TERRENOS;33000;07-06-2023;INMOBILIARIA;321;;;;;MANANTIALES;CORDOBA;-31.4840119;-64.2644421999999;False
51238754;DEPARTAMENTO;112000;07-03-2023;INMOBILIARIA;102;90;2;1;;GENERAL PAZ;CORDOBA;-31.4150257;-64.1667396;False
51932492;CASA;150000;01-07-2023;INMOBILIARIA;757;160;5;2;1;!CASA 5 DORM. FRENTE AL RIO! EXCELENTE RENTA TODO EL ANO;SAN ANTONIO DE ARREDONDO;-31.4652397;-64.52064659999999;True
51994945;DEPARTAMENTO;55000;15-07-2023;INMOBILIARIA;42;42;1;1;;NUEVA CORDOBA;CORDOBA;-31.4209257;-64.1851704;True
51238475;CASA;700000;02-03-2023;INMOBILIARIA;1500;300;3;3;2;CASA - CERRO DE LAS ROSAS;CORDOBA;-31.3748555;-64.2379768;False
51521785;CASA;149000;22-04-2023;INMOBILIARIA;164;164;3;3;;CASA EN EXCEPCIONAL A M DE AV EDEN;LA FALDA;-31.0933852;-64.4805141;False
46942014;CASA;168000;31-07-2022;INMOBILIARIA;180;156;3;2;2;CHACRA DEL NORTE;CORDOBA;-31.3525686;-64.2207047;False
51087132;CASA;220000;06-02-2023;INMOBILIARIA;360;176;4;1;2;CASA EN VENTA EN VILLA CARLOS PAZ;VILLA CARLOS PAZ;-31.410399667209678;-64.48282655293389;False
52007395;DEPARTAMENTO;110000;15-07-2023;INMOBILIARIA;80;80;3;2;;NUEVA CORDOBA;CORDOBA;-31.4239532710107;-64.18256223;True
50310364;DEPARTAMENTO;185000;13-09-2022;INMOBILIARIA;180;170;3;3;2;GREENVILLE II;CORDOBA;-31.4835258;-64.1690547;False
50733912;CASA;550000;27-11-2022;INMOBILIARIA;1500;400;3;3;2;EL BOSQUE;CORDOBA;-31.349666;-64.31039659999999;False
46434627;CASA;380000;31-07-2022;INMOBILIARIA;680;460;3;4;;CERRO DE LAS ROSAS;CORDOBA;-31.3735919;-64.2370427;False
51755611;CASA;350000;30-05-2023;INMOBILIARIA;1100;310;7;5;4;JARDIN;CORDOBA;-31.44956;-64.1867584;False
51776105;DEPARTAMENTO;152000;05-06-2023;INMOBILIARIA;73;73;2;2;1;BARRIO PRIVADO CHATEAU CARRERAS;CORDOBA;-31.3890068;-64.2596418;False
50393351;CASA;390000;30-09-2022;INMOBILIARIA;1400;300;3;2;2;LA RUFINA;LA CALERA;-31.3496772;-64.3104833;False
51858485;DEPARTAMENTO;40000;15-06-2023;INMOBILIARIA;40;40;1;1;;OBSERVATORIO;CORDOBA;-31.4213077;-64.1999723;False
50717284;CASA;500000;18-11-2022;INMOBILIARIA;1800;350;3;3;;LAS DELICIAS;CORDOBA;-31.3678457;-64.3003852;False
49033563;CASA;159000;01-08-2022;INMOBILIARIA;;180;3;1;3;CANITAS;CORDOBA;-31.4662561;-64.1918407;False
50680166;DEPARTAMENTO;62000;11-11-2022;INMOBILIARIA;;;1;1;;QUEBRADA DE LAS ROSAS;CORDOBA;-31.3926083;-64.2627282999999;False
50187637;TERRENOS;57900;22-08-2022;INMOBILIARIA;380;;;;;MALAGUENO;MALAGUENO;-31.442990793202444;-64.358753;False
51887152;DEPARTAMENTO;210000;22-06-2023;INMOBILIARIA;100;100;2;3;;URCA;CORDOBA;-31.3929154;-64.2220478999999;True
51812520;CASA;75000;08-06-2023;INMOBILIARIA;231;148;1;3;;VENDO CASA Y LOCALES EN SALSIPUEDES OPORTUNIDAD;SALSIPUEDES;-31.13704;-64.2943753;False
48452102;DEPARTAMENTO;42000;31-07-2022;PARTICULAR;52;52;1;1;;ALTO ALBERDI;CORDOBA;-31.4040304;-64.2202229;False
